Date,Open,High,Low,Close,Adj Close,Volume
2023/1/17,53.310001,54.98,50.700001,54.139999,54.139999,23521200
2023/1/18,54.220001,57.330002,50,50.209999,50.209999,24905700
2023/1/19,49.209999,51,47.919998,49.419998,49.419998,14073300
2023/1/20,50.380001,55.189999,48.799999,55.16,55.16,15433900
2023/1/23,55,56.689999,53.209999,55.959999,55.959999,17736400
2023/1/24,54.200001,56.470001,53.34,53.560001,53.560001,12413900
2023/1/25,51.5,53.41,49.599998,52.759998,52.759998,13343600
2023/1/26,56.060001,56.099998,51.970001,53.02,53.02,12614900
2023/1/27,52.939999,62.290001,52.41,61.369999,61.369999,24431000
2023/1/30,60.009998,61.860001,55.669998,56.16,56.16,14553900
2023/1/31,57.700001,60.439999,55.91,58.48,58.48,14751600
2023/2/1,59.080002,66.220001,56.650002,65.699997,65.699997,18840800
2023/2/2,68.459999,85.540001,68.309998,81.459999,81.459999,43911200
2023/2/3,73.720001,87.629997,73.019997,74.629997,74.629997,37125500
2023/2/6,73.18,75.980003,70.519997,74.589996,74.589996,17998400
2023/2/7,73.43,73.480003,67.300003,71.419998,71.419998,19819700
2023/2/8,70.830002,73.970001,68.300003,69.440002,69.440002,11626500
2023/2/9,68.489998,68.93,59,59.630001,59.630001,23920200
2023/2/10,58.259998,61.740002,55.970001,57.09,57.09,17359900
2023/2/13,55.52,57.09,53.66,56.400002,56.400002,14435900
2023/2/14,56.330002,61.080002,55.029999,59.029999,59.029999,23945800
2023/2/15,60.209999,69.459999,59.459999,69.339996,69.339996,25552900
2023/2/16,65.900002,73.300003,63.91,65.589996,65.589996,31704800
2023/2/17,64.940002,67.900002,61.509998,65.199997,65.199997,23252200
2023/2/21,63.32,66.870003,61.849998,62.07,62.07,19845700
2023/2/22,62.5,67.480003,57.349998,61.18,61.18,32937500
2023/2/23,63.959999,64.650002,59.889999,62.360001,62.360001,16698500
2023/2/24,60.880001,61.59,56.799999,58.439999,58.439999,14546200
2023/2/27,59.939999,60.970001,58.169998,58.959999,58.959999,13043000
2023/2/28,59.68,67.5,59.419998,64.830002,64.830002,24843900
2023/3/1,65.300003,66.790001,63.09,64.669998,64.669998,15827100
2023/3/2,61.07,63.900002,57.5,63.700001,63.700001,18091700
2023/3/3,61.639999,65.559998,61.380001,64.510002,64.510002,17579000
2023/3/6,64.599998,69.82,62.639999,62.77,62.77,19826100
2023/3/7,62.799999,64.660004,60.59,61.889999,61.889999,15821500
2023/3/8,61.200001,65.459999,60.349998,63.009998,63.009998,15427800
2023/3/9,62.389999,64.120003,57.209999,58.09,58.09,20996600
2023/3/10,56.389999,56.41,51.57,53.439999,53.439999,25743800
2023/3/13,54.709999,61.099998,50.77,59.169998,59.169998,31431900
2023/3/14,65.449997,66.209999,61.099998,62.650002,62.650002,25167800
2023/3/15,61.900002,66.290001,61.18,64.470001,64.470001,20825700
2023/3/16,64.400002,68.620003,63.119999,67.779999,67.779999,15474500
2023/3/17,70.519997,76.800003,69.099998,74.980003,74.980003,31006200
2023/3/20,76.760002,77.059998,72.870003,75.139999,75.139999,19026400
2023/3/21,76.239998,85.050003,75.769997,83.989998,83.989998,22991900
2023/3/22,84.25,85.379997,76.860001,77.139999,77.139999,24463200
2023/3/23,61.849998,70,61.509998,66.300003,66.300003,43152800
2023/3/24,64.18,68.730003,63.529999,67.830002,67.830002,21614100
2023/3/27,67.199997,67.599998,60.509998,62.540001,62.540001,23531300
2023/3/28,62.32,64.050003,61.110001,63.040001,63.040001,11635900
2023/3/29,65.419998,68.629997,63.77,65.300003,65.300003,17673800
2023/3/30,66.529999,67.169998,63.68,64.160004,64.160004,11563100
2023/3/31,64.699997,68.57,63.93,67.57,67.57,15926600
2023/4/3,66.010002,68.330002,62.700001,63.610001,63.610001,14040300
2023/4/4,64.660004,65.400002,60.950001,62.540001,62.540001,11654400
2023/4/5,62.540001,63.049999,59.220001,60.779999,60.779999,10788900
2023/4/6,59.57,62.740002,58.200001,61.439999,61.439999,11875200
2023/4/10,61.369999,66.190002,59.66,66.129997,66.129997,14391800
2023/4/11,68.089996,72.610001,67.239998,70.190002,70.190002,25348800
2023/4/12,70.769997,72.019997,66.230003,67.839996,67.839996,16773400
2023/4/13,69.889999,72.529999,68.050003,68.949997,68.949997,19718500
2023/4/14,69.300003,71.699997,67.870003,69.910004,69.910004,12887200
2023/4/17,67.120003,68.050003,64.900002,67.720001,67.720001,13344200
2023/4/18,70.389999,71.790001,66.550003,67.260002,67.260002,14835500
2023/4/19,64.360001,65.940002,63.400002,64.440002,64.440002,10327000
2023/4/20,63.23,65.330002,60.169998,60.5,60.5,11452900
2023/4/21,61.080002,61.450001,58.709999,59.040001,59.040001,13235100
2023/4/24,58.959999,59.09,54.080002,54.75,54.75,21135700
2023/4/25,55.709999,56.09,53.619999,55.549999,55.549999,14383300
2023/4/26,59.509998,59.509998,53.599998,53.889999,53.889999,16761200
2023/4/27,54.669998,55.720001,53.580002,54.169998,54.169998,12010900
2023/4/28,53.650002,54.52,52.169998,53.790001,53.790001,11629800
2023/5/1,53.169998,54.380001,48.450001,50.139999,50.139999,18437900
2023/5/2,50.200001,52.139999,48.259998,51.32,51.32,16778400
2023/5/3,50.150002,51.599998,48.310001,48.490002,48.490002,13325600
2023/5/4,48.720001,50.470001,47.650002,49.220001,49.220001,13044400
2023/5/5,54.049999,58.580002,53.75,58.240002,58.240002,25551700
2023/5/8,55.900002,58.799999,54.610001,58.099998,58.099998,15259400
2023/5/9,57.900002,60.240002,56.59,60.209999,60.209999,9641200
2023/5/10,61.450001,63.75,59.889999,62.639999,62.639999,15481300
2023/5/11,62.41,63.110001,59.77,60.349998,60.349998,8843500
2023/5/12,60.889999,61.130001,56.77,57.34,57.34,9096200
2023/5/15,58.400002,61.299999,57.200001,60.77,60.77,9429300
2023/5/16,58.68,60.110001,57.139999,57.880001,57.880001,7867900
2023/5/17,57.490002,61.310001,57.299999,61.040001,61.040001,8998400
2023/5/18,60.470001,61.700001,58.599998,60.259998,60.259998,8330300
2023/5/19,60.57,61.470001,56.59,56.779999,56.779999,12474800
2023/5/22,56.889999,61.099998,55.900002,61.07,61.07,12683400
2023/5/23,61,63.25,58.669998,59.099998,59.099998,12208200
2023/5/24,57.779999,58.970001,56.599998,58.360001,58.360001,8198300
2023/5/25,58.560001,59.139999,55.880001,56.869999,56.869999,7997400
2023/5/26,56.860001,58.91,56.630001,56.919998,56.919998,7788100
2023/5/30,60.099998,63.380001,59.23,61.169998,61.169998,14814200
